track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,283NWqNsCA9GwVHrJk59CG,256026,27-07-1999,77,0.845,0.576,11,-5.15,0,0.153,0.139,0,0.0764,0.461,127.641,37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,1BfLzaTFI5qKsAAk0Ae6aV,260640,28-06-2019,80,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,37i9dQZF1EQoqCH7BwIYb7,R&B Mix
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,1BfLzaTFI5qKsAAk0Ae6aV,260640,28-06-2019,80,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,1BfLzaTFI5qKsAAk0Ae6aV,260640,28-06-2019,80,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,37i9dQZF1DX7FY5ma9162x,R&B Favourites
3BwkldhE22DdxOcXegF2Kv,Bananza (Belly Dancer),0z4gvV4rjIZ9wHck67ucSV,Akon,77eKpEVxmSr1RhqMlirlTF,238493,01-01-2005,73,0.877,0.702,10,-5.899,0,0.127,0.0334,8.92E-06,0.743,0.69,104.833,37i9dQZF1EQoqCH7BwIYb7,R&B Mix
00aqkszH1FdUiJJWvX6iEl,Wicked Games - Original,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,7zCODUHkfuRxsUjtuzNqbd,325305,21-03-2011,62,0.606,0.57,9,-6.684,1,0.032,0.0217,8.47E-06,0.301,0.258,114.033,37i9dQZF1EQoqCH7BwIYb7,R&B Mix
0npGoOENjn7vVvIMmvWekQ,Lay It Down,1Xfmvd48oOhEWkscWyEbh9,Lloyd,3aAONJf7r1uJXF9ErDaJBx,240106,2011,64,0.527,0.796,1,-5.111,0,0.062,0.017,0,0.0798,0.534,155.99,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
0PJIbOdMs3bd5AT8liULMQ,oui,3KV3p5EY4AvKxOlhGHORLg,Jeremih,7DMyQuDPe8xzjC0UDSDa96,238320,04-12-2015,77,0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
0PJIbOdMs3bd5AT8liULMQ,oui,3KV3p5EY4AvKxOlhGHORLg,Jeremih,7DMyQuDPe8xzjC0UDSDa96,238320,04-12-2015,77,0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,37i9dQZF1DWWWvWJNPeyJE,Sexy R&B
4squZv12LD9M8ooJfoVgZS,Boo'd Up,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,67ErXRS9s9pVG8JmFbrdJ0,239341,12-10-2018,64,0.397,0.843,10,-3.726,0,0.0987,0.158,0,0.0844,0.22,81.201,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,6If57j6e3TXXk0HiLcIZca,Sevyn Streeter,3QpNG7nH0VRIeKmMz7lEi7,281080,03-12-2013,73,0.657,0.574,1,-9.484,0,0.0407,0.016,8.10E-05,0.172,0.211,119.992,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,6If57j6e3TXXk0HiLcIZca,Sevyn Streeter,3QpNG7nH0VRIeKmMz7lEi7,281080,03-12-2013,73,0.657,0.574,1,-9.484,0,0.0407,0.016,8.10E-05,0.172,0.211,119.992,37i9dQZF1DWWWvWJNPeyJE,Sexy R&B
0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,57LYzLEk2LcFghVwuWbcuS,Summer Walker,3i9w4RgUuxBxUVaarH91kx,222374,10-02-2019,0,0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,57LYzLEk2LcFghVwuWbcuS,Summer Walker,3i9w4RgUuxBxUVaarH91kx,222374,10-02-2019,0,0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022,37i9dQZF1DX1wNY9tfWQsS,Women of R&B
0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,57LYzLEk2LcFghVwuWbcuS,Summer Walker,3i9w4RgUuxBxUVaarH91kx,222374,10-02-2019,0,0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022,37i9dQZF1DX7FY5ma9162x,R&B Favourites
6oEVnWKgPqIEPc53OYDNqG,Could've Been (feat. Bryson Tiller),3Y7RZ31TRPVadSFVy1o8os,H.E.R.,0IMTA2Wz6p8CNZ0MDK2zvg,252746,30-08-2019,77,0.45,0.352,1,-11.733,0,0.267,0.649,3.80E-06,0.249,0.408,102.679,37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B
