"danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genre","popularity","target"
0.49,0.242,0.6146,0,0.0297,0.804,0.71,0.0954,0.398,0.4306,0.0387,4,9,19,0
0.587,0.599,0.7564,1,0.0279,0.633,0,0.24,0.964,0.5641,0.0346,4,2,50,1
0.192,0.115,0.5855,1,0.0389,0.948,0,0.135,0.15,0.732,0.0278,3,5,54,0
0.63,0.448,0.646,1,0.0271,0.445,0,0.271,0.753,0.4309,0.0284,4,2,36,1
0.599,0.578,0.7287,1,0.0368,0.000253,0.11,0.309,0.848,0.4224,0.0272,4,12,63,0
0.549,0.706,0.7395,1,0.0341,0.747,0.0089,0.142,0.975,0.5629,0.0299,4,5,53,1
0.198,0.43,0.7305,1,0.0385,0.965,0,0.193,0.349,0.7327,0.0338,3,1,31,1
0.592,0.612,0.7458,1,0.0303,0.52,0.765,0.0745,0.877,0.5886,0.0316,4,11,59,1
0.579,0.485,0.8232,1,0.04,0.512,0,0.245,0.686,0.555,0.0283,4,1,28,1
0.469,0.598,0.825,1,0.0304,0.495,0,0.175,0.749,0.5171,0.0358,3,1,68,1
0.251,0.338,0.7049,1,0.0382,0.861,0,0.144,0.353,0.3382,0.0388,3,2,35,1
0.282,0.937,0.7751,1,0.09,0.0107,0,0.293,0.194,0.6042,0.0324,4,12,44,1
0.419,0.516,0.7755,1,0.0297,0.722,0,0.563,0.769,0.7144,0.039,4,3,45,1
0.622,0.387,0.721,1,0.0276,0.23,0,0.144,0.564,0.4213,0.0323,3,3,67,1
0.621,0.43,0.7187,1,0.0343,0.69,0,0.075,0.938,0.5291,0.0289,4,6,46,1
0.283,0.274,0.6974,1,0.0295,0.949,0.0016,0.0915,0.213,0.4258,0.0321,3,6,47,1
0.636,0.893,0.8103,1,0.047,0.674,0.0014,0.176,0.887,0.5371,0.0321,4,3,50,1
0.44,0.677,0.7276,0,0.263,0.125,0.0043,0.343,0.687,0.6038,0.0675,4,9,47,0
0.606,0.457,0.6645,0,0.0497,0.713,0,0.0747,0.813,0.3812,0.0551,4,9,76,1
0.412,0.112,0.6545,0,0.047,0.915,1e-04,0.114,0.198,0.4915,0.0327,4,6,61,1
0.472,0.48,0.7604,1,0.0283,0.233,0.0019,0.0881,0.419,0.4616,0.0328,4,1,70,1
0.618,0.243,0.5708,0,0.0848,0.502,0,0.102,0.556,0.4323,0.0587,4,2,49,1
0.582,0.708,0.7358,0,0.0322,0.0259,2e-04,0.043,0.962,0.572,0.0286,4,6,47,1
0.363,0.321,0.7404,1,0.0297,0.924,0.0021,0.784,0.374,0.4597,0.0377,3,1,45,1
0.284,0.498,0.8249,0,0.0296,0.918,0.001,0.361,0.327,0.4104,0.0372,4,3,64,1
0.217,0.1,0.6335,1,0.032,0.979,0.812,0.0733,0.22,0.4167,0.0297,3,6,0,0
0.265,0.138,0.6368,0,0.036,0.93,0.0932,0.0973,0.162,0.2393,0.0763,4,6,29,0
0.472,0.464,0.748,1,0.031,0.347,0,0.153,0.388,0.4925,0.0385,4,6,53,0
0.313,0.078,0.5976,1,0.0332,0.955,0,0.169,0.125,0.5305,0.0375,4,6,65,1
0.539,0.26,0.7329,0,0.0268,0.588,0,0.134,0.492,0.3812,0.0358,3,1,58,1
0.296,0.145,0.6937,1,0.0357,0.955,0.842,0.105,0.197,0.5286,0.0524,4,1,41,0
0.65,0.306,0.7512,1,0.0393,0.57,0,0.0707,0.605,0.4891,0.0397,4,9,67,1
0.585,0.253,0.7281,0,0.0281,0.206,0,0.118,0.525,0.4521,0.0573,4,12,60,0
0.526,0.48,0.74,1,0.0624,0.372,0,0.565,0.755,0.5712,0.0446,4,3,52,0
0.64,0.663,0.7875,1,0.0374,0.201,0.0081,0.152,0.663,0.5499,0.0302,4,12,81,1
0.414,0.0999,0.5995,1,0.0451,0.978,0.927,0.111,0.131,0.3782,0.0901,4,1,52,0
0.57,0.891,0.9076,1,0.0352,0.539,0,0.55,0.699,0.539,0.03,4,1,48,1
0.703,0.549,0.7227,1,0.0493,0.708,0,0.361,0.919,0.3744,0.0288,4,2,45,1
0.415,0.242,0.631,1,0.028,0.904,0,0.096,0.364,0.4091,0.0358,3,9,33,1
0.503,0.227,0.61,0,0.0314,0.844,0.665,0.103,0.208,0.4519,0.0717,4,6,12,0
0.477,0.335,0.6887,1,0.0716,0.367,0,0.0958,0.252,0.5272,0.0518,3,1,59,1
0.596,0.366,0.6476,1,0.0325,0.878,0.0026,0.23,0.853,0.6036,0.0403,4,2,46,1
0.385,0.612,0.6741,1,0.0393,0.249,2e-04,0.339,0.884,0.7374,0.0359,3,1,21,1
0.455,0.274,0.65,1,0.0266,0.708,0.0045,0.121,0.328,0.3762,0.0333,4,6,47,1
0.478,0.32,0.7598,1,0.0246,0.92,0.0049,0.11,0.404,0.3983,0.0454,3,3,22,1
0.361,0.219,0.617,1,0.0285,0.563,0,0.558,0.26,0.4081,0.0484,3,1,65,1
